"model_name","model_type","origin","set_number","set_number_variant","creature_name","creature_type_code","creature_subtype_code","creature_size","base_diameter_inches","num_owned"
"Alhoon","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",33,,"Mind Flayer",1,50,"medium",1,1
"Beholder","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",42,,"Beholder",1,47,"large",2,1
"Berbalang","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",19,,"Berbalang",1,,"medium",1,3
"Choker","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",12,,"Choker",1,,"small",0.75,2
"Cloaker","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",26,,"Cloaker",1,,"large",2,2
"Death Slaad","Wizkids Pre-painted","Icons of the Realms - Boneyard",21,,"Death Slaad",1,48,"medium",1,1
"Dolgaunt","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",24,,"Dolgaunt",1,,"medium",1,1
"Dolgrim","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",13,,"Dolgrim",1,,"medium",1,2
"Dyrrn the Corruptor","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",40,,"Dyrrn",1,50,"medium",1,1
"Gibbering Mouther","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",24,,"Gibbering Mouther",1,,"medium",1,1
"Gnome Ceremorph","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",22,,"Gnome Ceremorph",1,50,"small",0.75,1
"Intellect Devourer","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",8,,"Intellect Devourer",1,50,"tiny",0.75,1
"Kalaraq Quori","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",36,,"Kalaraq Quori",1,,"medium",1,1
"Otyugh","Wizkids Pre-painted","Icons of the Realms - Boneyard",25,,"Otyugh",1,,"large",2,2
"Skittering Horror","Wizkids Pre-painted","Icons of the Realms - Boneyard",30,,"Skittering Horror",1,,"huge",3,2
"Tsucora Quori","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",21,,"Tsucora Quori",1,,"medium",1,1
"Woe Strider","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",40,,"Woe Strider",1,,"large",2,1
"Allosaurus Version 1 No Rider","3D Printed Unpainted","Clynche - Jurassic Tribe",,,"Allosaurus",2,51,"large",2,1
"Allosaurus Version 2 No Rider","3D Printed Unpainted","Clynche - Jurassic Tribe",,,"Allosaurus",2,51,"large",2,1
"Almiraj","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",4,,"Almiraj",2,,"small",0.75,2
"Arctic Fox","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",4,,"Arctic Fox",2,,"tiny",0.75,2
"Aurochs","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 1",2,,"Aurochs",2,,"large",2,1
"Axe Beak","Wizkids Pre-painted","Icons of the Realms - Snowbound",30,,"Axe Beak",2,53,"large",2,2
"Badger","Wizkids Unpainted","Pathfinder Deep Cuts - Familiars",,,"Badger",2,,"tiny",0.75,1
"Brown Bear","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",25,,"Brown Bear",2,,"large",2,3
"Brown Bear","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",11,,"Brown Bear",2,,"large",2,1
"Cat","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",4,,"Cat",2,,"tiny",0.75,1
"Celestial Dire Badger","Wizards Pre-painted","Dungeons & Dragons - Deathknell",13,,"Giant Badger",2,,"medium",1,1
"Clawfoot Raptor","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",23,,"Clawfoot Raptor",2,51,"medium",1,2
"Crocodile","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",30,,"Crocodile",2,52,"large",2,1
"Deinonychus","Wizkids Pre-painted","Pathfinder Battles - Dungeons Deep",3,,"Deinonychus",2,51,"medium",1,3
"Dire Wolf","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",13,,"Dire Wolf",2,,"large",2,1
"Dire Wolf","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",31,,"Dire Wolf",2,,"large",2,1
"Elephant","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",43,,"Elephant",2,,"huge",3,1
"Giant Ape","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",14,,"Giant Ape",2,,"huge",3,1
"Giant Boar","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",1,,"Giant Boar",2,,"large",2,1
"Giant Eagle","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",10,,"Giant Eagle",2,53,"large",2,1
"Giant Fire Beetle","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",4,,"Giant Fire Beetle",2,,"small",0.75,1
"Giant Goat","Wizkids Pre-painted","Icons of the Realms - Spell Effects Summoned Creatures 1",3,,"Giant Goat",2,,"large",2,1
"Giant Octopus","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",6,,"Giant Octopus",2,52,"large",2,1
"Giant Scorpion","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",29,,"Giant Scorpion",2,,"large",2,1
"Giant Scorpion","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",5,,"Giant Scorpion",2,,"huge",3,1
"Giant Shark","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",8,,"Giant Shark",2,52,"huge",3,1
"Giant Toad","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",7,,"Giant Toad",2,,"large",2,1
"Giant Wolf Spider","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",15,,"Giant Wolf Spider",2,,"large",2,1
"Giant Wolf Spider","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",8,,"Giant Wolf Spider",2,,"medium",1,2
"Killer Whale","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",30,,"Killer Whale",2,52,"huge",3,2
"Knucklehead Trout","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",9,,"Knucklehead Trout",2,52,"small",0.75,4
"Mammoth","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",32,,"Mammoth",2,,"huge",3,2
"Mountain Goat","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",10,,"Mountain Goat",2,,"medium",1,2
"Owl","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",9,,"Owl",2,53,"tiny",0.75,1
"Pack Mule","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",11,,"Mule",2,,"medium",1,4
"Pinacosaurus","Wizkids Pre-painted","Pathfinder Battles - City of Lost Omens",29,,"Ankylosaurus",2,51,"large",2,3
"Polar Bear","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 2",12,,"Polar Bear",2,,"large",2,1
"Polar Bear","Wizkids Pre-painted","Icons of the Realms - Snowbound",29,,"Polar Bear",2,,"large",2,1
"Rat","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",3,,"Rat",2,,"tiny",0.75,1
"Raven","Wizkids Pre-painted","Pathfinder Battles - Reign of Winter",3,,"Raven",2,53,"tiny",0.75,1
"Reindeer","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",27,,"Reindeer",2,,"large",2,1
"Sled Dogs","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",9,,"Dog",2,,"medium",1,1
"Spinosaurus","3D Printed Unpainted","Clynche - Jurassic Tribe",,,"Spinosaurus",2,51,"huge",3,1
"Stegosaurus","3D Printed Unpainted","Clynche - Jurassic Tribe",,,"Stegosaurus",2,51,"huge",3,1
"Stirge","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",3,,"Stirge",2,,"tiny",0.75,2
"Swarm of Bats","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",26,,"Bat",2,54,"large",2,1
"Tiger","Wizkids Pre-painted","Icons of the Realms - Spell Effects Wild Shape & Polymorph 1",2,,"Tiger",2,,"large",2,1
"Tressym","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",5,,"Tressym",2,,"tiny",0.75,1
"Triceratops","Wizkids Unpainted","Nolzur''s Marvelous Miniatures",,,"Triceratops",2,51,"huge",3,1
"Tyrannosaurus Rex","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",30,,"Tyrannosaurus Rex",2,51,"huge",3,1
